Région;Ancienne région;Nature de procédure;Année;Trimestre;Dernier jour du trimestre;﻿Code région;Code ancienne région;Nombre de procédures (brut)
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2015;2;2015-06-30;32;31;652
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2015;4;2015-12-31;32;31;665
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2017;1;2017-03-31;32;31;659
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2017;3;2017-09-30;32;31;439
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2018;3;2018-09-30;32;31;602
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2020;3;2020-09-30;32;31;357
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2020;4;2020-12-31;32;31;362
Guadeloupe;Guadeloupe;Liquidation judiciaire;2025;3;2025-09-30;01;01;78
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2021;1;2021-03-31;32;31;296
Guadeloupe;Guadeloupe;Sauvegarde;2009;4;2009-12-31;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2021;2;2021-06-30;32;31;246
Guadeloupe;Guadeloupe;Sauvegarde;2010;1;2010-03-31;01;01;3
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2021;4;2021-12-31;32;31;362
Guadeloupe;Guadeloupe;Sauvegarde;2011;2;2011-06-30;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2022;4;2022-12-31;32;31;539
Guadeloupe;Guadeloupe;Sauvegarde;2012;3;2012-09-30;01;01;8
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2023;2;2023-06-30;32;31;569
Guadeloupe;Guadeloupe;Sauvegarde;2013;1;2013-03-31;01;01;9
Hauts-de-France;Nord-Pas-de-Calais;Liquidation judiciaire;2026;1;2026-03-31;32;31;690
Guadeloupe;Guadeloupe;Sauvegarde;2013;3;2013-09-30;01;01;3
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2004;1;2004-03-31;32;31;
Guadeloupe;Guadeloupe;Sauvegarde;2014;2;2014-06-30;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2004;4;2004-12-31;32;31;
Guadeloupe;Guadeloupe;Sauvegarde;2014;3;2014-09-30;01;01;2
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2005;3;2005-09-30;32;31;
Guadeloupe;Guadeloupe;Sauvegarde;2014;4;2014-12-31;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2005;4;2005-12-31;32;31;
Guadeloupe;Guadeloupe;Sauvegarde;2016;2;2016-06-30;01;01;3
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2006;4;2006-12-31;32;31;3
Guadeloupe;Guadeloupe;Sauvegarde;2017;2;2017-06-30;01;01;1
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2007;3;2007-09-30;32;31;4
Guadeloupe;Guadeloupe;Sauvegarde;2017;3;2017-09-30;01;01;
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2008;3;2008-09-30;32;31;1
Guadeloupe;Guadeloupe;Sauvegarde;2018;2;2018-06-30;01;01;
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2008;4;2008-12-31;32;31;8
Guadeloupe;Guadeloupe;Sauvegarde;2019;1;2019-03-31;01;01;1
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2009;2;2009-06-30;32;31;10
Guadeloupe;Guadeloupe;Sauvegarde;2020;1;2020-03-31;01;01;
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2009;3;2009-09-30;32;31;8
Guadeloupe;Guadeloupe;Sauvegarde;2021;1;2021-03-31;01;01;2
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2010;2;2010-06-30;32;31;10
Guadeloupe;Guadeloupe;Sauvegarde;2021;4;2021-12-31;01;01;3
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2010;4;2010-12-31;32;31;13
Guadeloupe;Guadeloupe;Sauvegarde;2022;2;2022-06-30;01;01;1
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2011;2;2011-06-30;32;31;8
Guadeloupe;Guadeloupe;Sauvegarde;2022;4;2022-12-31;01;01;1
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2012;1;2012-03-31;32;31;11
Guadeloupe;Guadeloupe;Sauvegarde;2023;4;2023-12-31;01;01;13
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2012;4;2012-12-31;32;31;8
Guadeloupe;Guadeloupe;Sauvegarde;2024;2;2024-06-30;01;01;7
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2013;1;2013-03-31;32;31;10
Guadeloupe;Guadeloupe;Sauvegarde;2024;3;2024-09-30;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2013;3;2013-09-30;32;31;13
Guadeloupe;Guadeloupe;Sauvegarde;2025;1;2025-03-31;01;01;4
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2014;1;2014-03-31;32;31;10
Martinique;Martinique;Redressement judiciaire;2004;1;2004-03-31;02;02;24
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2015;1;2015-03-31;32;31;13
Martinique;Martinique;Redressement judiciaire;2004;3;2004-09-30;02;02;25
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2016;2;2016-06-30;32;31;4
Martinique;Martinique;Redressement judiciaire;2006;4;2006-12-31;02;02;53
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2017;3;2017-09-30;32;31;6
Martinique;Martinique;Redressement judiciaire;2007;3;2007-09-30;02;02;30
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2018;3;2018-09-30;32;31;3
Martinique;Martinique;Redressement judiciaire;2008;2;2008-06-30;02;02;43
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2019;3;2019-09-30;32;31;5
Martinique;Martinique;Redressement judiciaire;2008;4;2008-12-31;02;02;81
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2020;4;2020-12-31;32;31;7
Martinique;Martinique;Redressement judiciaire;2009;2;2009-06-30;02;02;59
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2021;2;2021-06-30;32;31;10
Martinique;Martinique;Redressement judiciaire;2009;3;2009-09-30;02;02;43
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2022;2;2022-06-30;32;31;15
Martinique;Martinique;Redressement judiciaire;2009;4;2009-12-31;02;02;72
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2022;3;2022-09-30;32;31;12
Martinique;Martinique;Redressement judiciaire;2010;2;2010-06-30;02;02;37
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2023;4;2023-12-31;32;31;12
Martinique;Martinique;Redressement judiciaire;2010;4;2010-12-31;02;02;49
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2024;2;2024-06-30;32;31;9
Martinique;Martinique;Redressement judiciaire;2011;1;2011-03-31;02;02;49
Hauts-de-France;Nord-Pas-de-Calais;Sauvegarde;2025;3;2025-09-30;32;31;17
Martinique;Martinique;Redressement judiciaire;2012;3;2012-09-30;02;02;67
Grand Est;Lorraine;Redressement judiciaire;2004;2;2004-06-30;44;41;123
Martinique;Martinique;Redressement judiciaire;2012;4;2012-12-31;02;02;80
Grand Est;Lorraine;Redressement judiciaire;2005;1;2005-03-31;44;41;141
Martinique;Martinique;Redressement judiciaire;2013;4;2013-12-31;02;02;61
Grand Est;Lorraine;Redressement judiciaire;2005;4;2005-12-31;44;41;122
Martinique;Martinique;Redressement judiciaire;2014;1;2014-03-31;02;02;81
Grand Est;Lorraine;Redressement judiciaire;2006;4;2006-12-31;44;41;155
Martinique;Martinique;Redressement judiciaire;2014;2;2014-06-30;02;02;66
Grand Est;Lorraine;Redressement judiciaire;2008;1;2008-03-31;44;41;158
Martinique;Martinique;Redressement judiciaire;2014;3;2014-09-30;02;02;43
Grand Est;Lorraine;Redressement judiciaire;2009;2;2009-06-30;44;41;179
Martinique;Martinique;Redressement judiciaire;2015;1;2015-03-31;02;02;34
Grand Est;Lorraine;Redressement judiciaire;2010;1;2010-03-31;44;41;138
Martinique;Martinique;Redressement judiciaire;2015;2;2015-06-30;02;02;33
Grand Est;Lorraine;Redressement judiciaire;2011;1;2011-03-31;44;41;162
Martinique;Martinique;Redressement judiciaire;2017;1;2017-03-31;02;02;32
Grand Est;Lorraine;Redressement judiciaire;2011;2;2011-06-30;44;41;171
Martinique;Martinique;Redressement judiciaire;2017;2;2017-06-30;02;02;29
Grand Est;Lorraine;Redressement judiciaire;2012;4;2012-12-31;44;41;169
Martinique;Martinique;Redressement judiciaire;2018;3;2018-09-30;02;02;30
Grand Est;Lorraine;Redressement judiciaire;2013;2;2013-06-30;44;41;149
Martinique;Martinique;Redressement judiciaire;2019;2;2019-06-30;02;02;42
Grand Est;Lorraine;Redressement judiciaire;2013;3;2013-09-30;44;41;129
Martinique;Martinique;Redressement judiciaire;2019;4;2019-12-31;02;02;56
Grand Est;Lorraine;Redressement judiciaire;2013;4;2013-12-31;44;41;126
Martinique;Martinique;Redressement judiciaire;2020;2;2020-06-30;02;02;23
Grand Est;Lorraine;Redressement judiciaire;2014;1;2014-03-31;44;41;140
Martinique;Martinique;Redressement judiciaire;2021;1;2021-03-31;02;02;10
Grand Est;Lorraine;Redressement judiciaire;2014;4;2014-12-31;44;41;155
Martinique;Martinique;Redressement judiciaire;2021;2;2021-06-30;02;02;27
Grand Est;Lorraine;Redressement judiciaire;2015;1;2015-03-31;44;41;146
Martinique;Martinique;Redressement judiciaire;2021;3;2021-09-30;02;02;25
Grand Est;Lorraine;Redressement judiciaire;2015;2;2015-06-30;44;41;107
Martinique;Martinique;Redressement judiciaire;2021;4;2021-12-31;02;02;11
Grand Est;Lorraine;Redressement judiciaire;2015;4;2015-12-31;44;41;129
Martinique;Martinique;Redressement judiciaire;2022;2;2022-06-30;02;02;17
Grand Est;Lorraine;Redressement judiciaire;2016;1;2016-03-31;44;41;141
Martinique;Martinique;Redressement judiciaire;2022;3;2022-09-30;02;02;19
Grand Est;Lorraine;Redressement judiciaire;2016;2;2016-06-30;44;41;147
Martinique;Martinique;Redressement judiciaire;2023;2;2023-06-30;02;02;36
Grand Est;Lorraine;Redressement judiciaire;2017;2;2017-06-30;44;41;114
Martinique;Martinique;Redressement judiciaire;2023;3;2023-09-30;02;02;39
Grand Est;Lorraine;Redressement judiciaire;2018;1;2018-03-31;44;41;86
Martinique;Martinique;Redressement judiciaire;2023;4;2023-12-31;02;02;27
Grand Est;Lorraine;Redressement judiciaire;2019;1;2019-03-31;44;41;126
Martinique;Martinique;Redressement judiciaire;2024;1;2024-03-31;02;02;33
Grand Est;Lorraine;Redressement judiciaire;2019;4;2019-12-31;44;41;115
Martinique;Martinique;Redressement judiciaire;2025;3;2025-09-30;02;02;26
Grand Est;Lorraine;Redressement judiciaire;2020;1;2020-03-31;44;41;69
Martinique;Martinique;Liquidation judiciaire;2004;2;2004-06-30;02;02;64
Grand Est;Lorraine;Redressement judiciaire;2020;2;2020-06-30;44;41;48
Martinique;Martinique;Liquidation judiciaire;2005;2;2005-06-30;02;02;50
Grand Est;Lorraine;Redressement judiciaire;2020;3;2020-09-30;44;41;32
Martinique;Martinique;Liquidation judiciaire;2005;3;2005-09-30;02;02;55
Grand Est;Lorraine;Redressement judiciaire;2020;4;2020-12-31;44;41;43
Martinique;Martinique;Liquidation judiciaire;2006;1;2006-03-31;02;02;64
Grand Est;Lorraine;Redressement judiciaire;2021;1;2021-03-31;44;41;49
Martinique;Martinique;Liquidation judiciaire;2007;1;2007-03-31;02;02;71
Grand Est;Lorraine;Redressement judiciaire;2021;2;2021-06-30;44;41;28
Martinique;Martinique;Liquidation judiciaire;2007;2;2007-06-30;02;02;77
Grand Est;Lorraine;Redressement judiciaire;2021;4;2021-12-31;44;41;29
Martinique;Martinique;Liquidation judiciaire;2007;3;2007-09-30;02;02;105
Grand Est;Lorraine;Redressement judiciaire;2022;4;2022-12-31;44;41;73
Martinique;Martinique;Liquidation judiciaire;2007;4;2007-12-31;02;02;104
Grand Est;Lorraine;Redressement judiciaire;2023;1;2023-03-31;44;41;80
Martinique;Martinique;Liquidation judiciaire;2008;1;2008-03-31;02;02;77
Grand Est;Lorraine;Redressement judiciaire;2023;4;2023-12-31;44;41;79
Martinique;Martinique;Liquidation judiciaire;2009;1;2009-03-31;02;02;91
Grand Est;Lorraine;Redressement judiciaire;2024;1;2024-03-31;44;41;121
Martinique;Martinique;Liquidation judiciaire;2009;2;2009-06-30;02;02;117
Grand Est;Lorraine;Redressement judiciaire;2024;3;2024-09-30;44;41;110
Martinique;Martinique;Liquidation judiciaire;2009;3;2009-09-30;02;02;80
Grand Est;Lorraine;Redressement judiciaire;2025;1;2025-03-31;44;41;119
Martinique;Martinique;Liquidation judiciaire;2010;3;2010-09-30;02;02;101
Grand Est;Lorraine;Redressement judiciaire;2025;2;2025-06-30;44;41;107
Martinique;Martinique;Liquidation judiciaire;2011;1;2011-03-31;02;02;98
Grand Est;Lorraine;Redressement judiciaire;2025;3;2025-09-30;44;41;94
Martinique;Martinique;Liquidation judiciaire;2011;2;2011-06-30;02;02;93
Grand Est;Lorraine;Redressement judiciaire;2025;4;2025-12-31;44;41;142
Martinique;Martinique;Liquidation judiciaire;2011;3;2011-09-30;02;02;118
Grand Est;Lorraine;Liquidation judiciaire;2004;1;2004-03-31;44;41;320
Martinique;Martinique;Liquidation judiciaire;2012;1;2012-03-31;02;02;87
Grand Est;Lorraine;Liquidation judiciaire;2005;1;2005-03-31;44;41;285
Martinique;Martinique;Liquidation judiciaire;2013;3;2013-09-30;02;02;121
Grand Est;Lorraine;Liquidation judiciaire;2005;3;2005-09-30;44;41;281
Martinique;Martinique;Liquidation judiciaire;2014;1;2014-03-31;02;02;125
Grand Est;Lorraine;Liquidation judiciaire;2006;2;2006-06-30;44;41;262
Martinique;Martinique;Liquidation judiciaire;2014;2;2014-06-30;02;02;162
Grand Est;Lorraine;Liquidation judiciaire;2007;1;2007-03-31;44;41;399
Martinique;Martinique;Liquidation judiciaire;2014;4;2014-12-31;02;02;98
Grand Est;Lorraine;Liquidation judiciaire;2007;2;2007-06-30;44;41;317
Martinique;Martinique;Liquidation judiciaire;2017;2;2017-06-30;02;02;90
Grand Est;Lorraine;Liquidation judiciaire;2007;4;2007-12-31;44;41;325
Martinique;Martinique;Liquidation judiciaire;2018;3;2018-09-30;02;02;71
Grand Est;Lorraine;Liquidation judiciaire;2008;4;2008-12-31;44;41;401
Martinique;Martinique;Liquidation judiciaire;2018;4;2018-12-31;02;02;73
Grand Est;Lorraine;Liquidation judiciaire;2009;3;2009-09-30;44;41;352
Martinique;Martinique;Liquidation judiciaire;2019;1;2019-03-31;02;02;61
Grand Est;Lorraine;Liquidation judiciaire;2009;4;2009-12-31;44;41;390
Martinique;Martinique;Liquidation judiciaire;2019;3;2019-09-30;02;02;38
Grand Est;Lorraine;Liquidation judiciaire;2010;1;2010-03-31;44;41;368
Martinique;Martinique;Liquidation judiciaire;2021;1;2021-03-31;02;02;54
Grand Est;Lorraine;Liquidation judiciaire;2012;1;2012-03-31;44;41;414
Martinique;Martinique;Liquidation judiciaire;2021;2;2021-06-30;02;02;46
Grand Est;Lorraine;Liquidation judiciaire;2013;2;2013-06-30;44;41;398
Martinique;Martinique;Liquidation judiciaire;2023;1;2023-03-31;02;02;72
Grand Est;Lorraine;Liquidation judiciaire;2014;4;2014-12-31;44;41;379
Martinique;Martinique;Liquidation judiciaire;2024;1;2024-03-31;02;02;81
